fips,Geographic area,Area in square miles - Total area,Area in square miles - Water area,LA
1001,Autauga County,604.39,9.95,594.44
1003,Baldwin County,2027.31,437.53,1589.78
1005,Barbour County,904.52,19.64,884.88
1007,Bibb County,626.17,3.59,622.58
1009,Blount County,650.63,5.85,644.78
1011,Bullock County,625.14,2.34,622.8
1013,Butler County,777.88,1.05,776.83
1015,Calhoun County,612.29,6.42,605.87
1017,Chambers County,603.11,6.58,596.53
1019,Cherokee County,599.98,46.28,553.7
1021,Chilton County,700.8,7.95,692.85
1023,Choctaw County,920.86,7.36,913.5
1025,Clarke County,1252.57,14.11,1238.46
1027,Clay County,606,2.04,603.96
1029,Cleburne County,561.01,0.91,560.1
1031,Coffee County,680.49,1.52,678.97
1033,Colbert County,622.13,29.51,592.62
1035,Conecuh County,852.72,2.57,850.16
1037,Coosa County,666.35,15.42,650.93
1039,Covington County,1043.79,13.33,1030.46
1041,Crenshaw County,610.92,2.08,608.84
1043,Cullman County,755.02,20.18,734.84
1045,Dale County,562.7,1.55,561.15
1047,Dallas County,993.8,15.11,978.69
1049,DeKalb County,778.69,1.59,777.09
1051,Elmore County,657.04,38.56,618.48
1053,Escambia County,953.14,8.06,945.08
1055,Etowah County,548.63,13.64,534.99
1057,Fayette County,629.36,1.7,627.66
1059,Franklin County,646.52,12.7,633.82
1061,Geneva County,578.95,4.54,574.41
1063,Greene County,659.94,12.83,647.11
1065,Hale County,656.5,12.56,643.94
1067,Henry County,568.31,6.56,561.75
1069,Houston County,581.65,1.83,579.82
1071,Jackson County,1126.77,48.9,1077.87
1073,Jefferson County,1123.81,12.54,1111.28
1075,Lamar County,605.46,0.62,604.85
1077,Lauderdale County,720.99,53.29,667.7
1079,Lawrence County,717.2,26.52,690.68
1081,Lee County,615.85,8.31,607.54
1083,Limestone County,607.19,47.25,559.94
1085,Lowndes County,725.07,9.16,715.91
1087,Macon County,613.21,4.32,608.89
1089,Madison County,812.7,11.11,801.59
1091,Marengo County,982.67,5.79,976.88
1093,Marion County,743.57,1.28,742.29
1095,Marshall County,623.18,57.34,565.84
1097,Mobile County,1644.01,414.58,1229.44
1099,Monroe County,1034.42,8.74,1025.67
1101,Montgomery County,799.91,15.66,784.25
1103,Morgan County,599.05,19.72,579.34
1105,Perry County,723.88,4.22,719.66
1107,Pickens County,890.13,8.72,881.41
1109,Pike County,673.01,0.91,672.09
