fips,name,Gini,"B19083001, Error"
1001,"Autauga County, AL",0.4602,0.041
1003,"Baldwin County, AL",0.4609,0.0097
1005,"Barbour County, AL",0.4731,0.0156
1007,"Bibb County, AL",0.4294,0.0261
1009,"Blount County, AL",0.4331,0.0196
1011,"Bullock County, AL",0.5174,0.0479
1013,"Butler County, AL",0.4708,0.0248
1015,"Calhoun County, AL",0.4676,0.016
1017,"Chambers County, AL",0.4568,0.0318
1019,"Cherokee County, AL",0.4539,0.0249
1021,"Chilton County, AL",0.4845,0.0337
1023,"Choctaw County, AL",0.4809,0.0225
1025,"Clarke County, AL",0.5185,0.0217
1027,"Clay County, AL",0.4684,0.035
1029,"Cleburne County, AL",0.4622,0.0277
1031,"Coffee County, AL",0.4427,0.0157
1033,"Colbert County, AL",0.4496,0.0183
1035,"Conecuh County, AL",0.4354,0.0314
1037,"Coosa County, AL",0.4646,0.0519
1039,"Covington County, AL",0.4553,0.0161
1041,"Crenshaw County, AL",0.504,0.0451
1043,"Cullman County, AL",0.4548,0.0146
1045,"Dale County, AL",0.45,0.0151
1047,"Dallas County, AL",0.4885,0.0149
1049,"DeKalb County, AL",0.4748,0.0169
1051,"Elmore County, AL",0.4359,0.0152
1053,"Escambia County, AL",0.4823,0.0188
1055,"Etowah County, AL",0.4483,0.0128
1057,"Fayette County, AL",0.4635,0.0302
1059,"Franklin County, AL",0.4224,0.0191
1061,"Geneva County, AL",0.4413,0.0199
1063,"Greene County, AL",0.5041,0.0356
1065,"Hale County, AL",0.5071,0.029
1067,"Henry County, AL",0.435,0.0185
1069,"Houston County, AL",0.4808,0.0075
1071,"Jackson County, AL",0.4616,0.0159
1073,"Jefferson County, AL",0.4996,0.0047
1075,"Lamar County, AL",0.4623,0.0423
1077,"Lauderdale County, AL",0.4672,0.0144
1079,"Lawrence County, AL",0.4389,0.0259
1081,"Lee County, AL",0.5081,0.0121
1083,"Limestone County, AL",0.4509,0.0145
1085,"Lowndes County, AL",0.4999,0.0221
1087,"Macon County, AL",0.5145,0.0213
1089,"Madison County, AL",0.4673,0.0071
1091,"Marengo County, AL",0.5386,0.0494
1093,"Marion County, AL",0.4596,0.0185
1095,"Marshall County, AL",0.4805,0.0162
1097,"Mobile County, AL",0.4765,0.0078
1099,"Monroe County, AL",0.5477,0.0284
1101,"Montgomery County, AL",0.4929,0.0089
1103,"Morgan County, AL",0.4511,0.0116
1105,"Perry County, AL",0.479,0.0374
1107,"Pickens County, AL",0.4997,0.0309
1109,"Pike County, AL",0.5343,0.0325
1111,"Randolph County, AL",0.4733,0.0351
1113,"Russell County, AL",0.454,0.0154
1115,"St. Clair County, AL",0.4068,0.0134
1117,"Shelby County, AL",0.4344,0.0098
1119,"Sumter County, AL",0.5469,0.0437
1121,"Talladega County, AL",0.4584,0.0173
1123,"Tallapoosa County, AL",0.4617,0.0163
1125,"Tuscaloosa County, AL",0.463,0.009
1127,"Walker County, AL",0.4587,0.0158
1129,"Washington County, AL",0.4684,0.045
1131,"Wilcox County, AL",0.5108,0.0287
1133,"Winston County, AL",0.4517,0.0266
2013,"Aleutians East Borough, AK",0.3987,0.0202
2016,"Aleutians West Census Area, AK",0.3628,0.0112
2020,"Anchorage Municipality, AK",0.4251,0.009
2050,"Bethel Census Area, AK",0.4446,0.0146
2060,"Bristol Bay Borough, AK",0.3911,0.0323
2068,"Denali Borough, AK",0.3631,0.0441
2070,"Dillingham Census Area, AK",0.4285,0.0226
2090,"Fairbanks North Star Borough, AK",0.4061,0.0128
2100,"Haines Borough, AK",0.3796,0.0388
2105,"Hoonah-Angoon Census Area, AK",0.3914,0.024
2110,"Juneau City and Borough, AK",0.3947,0.0343
2122,"Kenai Peninsula Borough, AK",0.4322,0.0142
2130,"Ketchikan Gateway Borough, AK",0.4161,0.0166
2150,"Kodiak Island Borough, AK",0.3869,0.0386
2158,"Kusilvak Census Area, AK",0.4305,0.0213
2164,"Lake and Peninsula Borough, AK",0.4318,0.0462
2170,"Matanuska-Susitna Borough, AK",0.4171,0.008
2180,"Nome Census Area, AK",0.4294,0.0187
2185,"North Slope Borough, AK",0.4156,0.026
2188,"Northwest Arctic Borough, AK",0.4375,0.0188
2195,"Petersburg Borough, AK",0.4388,0.0227
2198,"Prince of Wales-Hyder Census Area, AK",0.4139,0.0141
2220,"Sitka City and Borough, AK",0.4222,0.0272
2230,"Skagway Municipality, AK",0.3224,0.0209
2240,"Southeast Fairbanks Census Area, AK",0.3858,0.0201
2261,"Valdez-Cordova Census Area, AK",0.4226,0.0342
2275,"Wrangell City and Borough, AK",0.4071,0.0282
2282,"Yakutat City and Borough, AK",0.3498,0.0273
2290,"Yukon-Koyukuk Census Area, AK",0.4666,0.0136
4001,"Apache County, AZ",0.495,0.0126
4003,"Cochise County, AZ",0.4404,0.0111
4005,"Coconino County, AZ",0.4654,0.013
4007,"Gila County, AZ",0.4451,0.0137
4009,"Graham County, AZ",0.4049,0.0157
4011,"Greenlee County, AZ",0.3908,0.0326
4012,"La Paz County, AZ",0.4663,0.0325
4013,"Maricopa County, AZ",0.4666,0.0023
4015,"Mohave County, AZ",0.4451,0.009
4017,"Navajo County, AZ",0.4751,0.0112
4019,"Pima County, AZ",0.4713,0.0044
4021,"Pinal County, AZ",0.4235,0.01
4023,"Santa Cruz County, AZ",0.4933,0.0266
4025,"Yavapai County, AZ",0.4462,0.0103
4027,"Yuma County, AZ",0.4462,0.0103
5001,"Arkansas County, AR",0.4963,0.0266
5003,"Ashley County, AR",0.476,0.0408
5005,"Baxter County, AR",0.4539,0.0293
5007,"Benton County, AR",0.4549,0.0092
5009,"Boone County, AR",0.4451,0.0206
5011,"Bradley County, AR",0.4603,0.0203
5013,"Calhoun County, AR",0.4266,0.0239
5015,"Carroll County, AR",0.4572,0.0374
5017,"Chicot County, AR",0.5579,0.0471
5019,"Clark County, AR",0.4509,0.0164
5021,"Clay County, AR",0.4574,0.0276
5023,"Cleburne County, AR",0.4582,0.0279
5025,"Cleveland County, AR",0.4418,0.0249
5027,"Columbia County, AR",0.4974,0.0403
5029,"Conway County, AR",0.4675,0.0278
5031,"Craighead County, AR",0.493,0.0173
5033,"Crawford County, AR",0.4456,0.0303
5035,"Crittenden County, AR",0.4568,0.0165
5037,"Cross County, AR",0.4752,0.051
5039,"Dallas County, AR",0.4104,0.0284
5041,"Desha County, AR",0.4642,0.0255
5043,"Drew County, AR",0.4806,0.0317
5045,"Faulkner County, AR",0.4615,0.0145
5047,"Franklin County, AR",0.448,0.0237
5049,"Fulton County, AR",0.4311,0.0208
5051,"Garland County, AR",0.4881,0.0249
5053,"Grant County, AR",0.4394,0.0393
5055,"Greene County, AR",0.417,0.0192
5057,"Hempstead County, AR",0.4257,0.0257
5059,"Hot Spring County, AR",0.4369,0.0335
5061,"Howard County, AR",0.5284,0.0447
5063,"Independence County, AR",0.45,0.0241
5065,"Izard County, AR",0.4257,0.05
5067,"Jackson County, AR",0.5031,0.0382
5069,"Jefferson County, AR",0.4695,0.0175
5071,"Johnson County, AR",0.4427,0.0241
5073,"Lafayette County, AR",0.5762,0.0541
5075,"Lawrence County, AR",0.4358,0.0164
5077,"Lee County, AR",0.4992,0.031
5079,"Lincoln County, AR",0.4452,0.0344
5081,"Little River County, AR",0.4643,0.0365
5083,"Logan County, AR",0.4486,0.0255
5085,"Lonoke County, AR",0.4052,0.0133
5087,"Madison County, AR",0.4787,0.0381
5089,"Marion County, AR",0.4433,0.0279
5091,"Miller County, AR",0.4662,0.0192
5093,"Mississippi County, AR",0.4622,0.0191
5095,"Monroe County, AR",0.4699,0.0226
5097,"Montgomery County, AR",0.4524,0.0323
5099,"Nevada County, AR",0.414,0.0238
5101,"Newton County, AR",0.4312,0.0314
5103,"Ouachita County, AR",0.477,0.0228
5105,"Perry County, AR",0.4031,0.0246
5107,"Phillips County, AR",0.4925,0.0237
5109,"Pike County, AR",0.4352,0.0248
5111,"Poinsett County, AR",0.4161,0.0192
5113,"Polk County, AR",0.4377,0.021
5115,"Pope County, AR",0.464,0.0181
5117,"Prairie County, AR",0.44,0.0238
5119,"Pulaski County, AR",0.5025,0.007
5121,"Randolph County, AR",0.4593,0.0377
5123,"St. Francis County, AR",0.4729,0.0236
5125,"Saline County, AR",0.3983,0.0108
5127,"Scott County, AR",0.4325,0.0267
5129,"Searcy County, AR",0.4693,0.0431
5131,"Sebastian County, AR",0.4781,0.0143
5133,"Sevier County, AR",0.4221,0.0355
5135,"Sharp County, AR",0.4758,0.0778
5137,"Stone County, AR",0.4595,0.034
5139,"Union County, AR",0.4739,0.0221
5141,"Van Buren County, AR",0.445,0.0187
5143,"Washington County, AR",0.4967,0.014
5145,"White County, AR",0.4731,0.0186
5147,"Woodruff County, AR",0.4949,0.0325
5149,"Yell County, AR",0.4501,0.0306
6001,"Alameda County, CA",0.4624,0.0033
6003,"Alpine County, CA",0.4967,0.0771
6005,"Amador County, CA",0.4437,0.0249
6007,"Butte County, CA",0.4893,0.0089
6009,"Calaveras County, CA",0.4464,0.0212
6011,"Colusa County, CA",0.4982,0.0459
6013,"Contra Costa County, CA",0.4703,0.0036
6015,"Del Norte County, CA",0.4857,0.0312
6017,"El Dorado County, CA",0.4494,0.0081
6019,"Fresno County, CA",0.4785,0.0055
6021,"Glenn County, CA",0.4548,0.02
6023,"Humboldt County, CA",0.4754,0.0148
6025,"Imperial County, CA",0.4768,0.0133
6027,"Inyo County, CA",0.424,0.0225
6029,"Kern County, CA",0.4645,0.0061
6031,"Kings County, CA",0.4346,0.0138
6033,"Lake County, CA",0.4796,0.0157
6035,"Lassen County, CA",0.4231,0.018
6037,"Los Angeles County, CA",0.5022,0.0012
6039,"Madera County, CA",0.4408,0.011
6041,"Marin County, CA",0.5158,0.007
6043,"Mariposa County, CA",0.4349,0.0284
6045,"Mendocino County, CA",0.4736,0.0179
6047,"Merced County, CA",0.4708,0.0116
6049,"Modoc County, CA",0.4113,0.0276
6051,"Mono County, CA",0.3701,0.0296
6053,"Monterey County, CA",0.4619,0.0065
6055,"Napa County, CA",0.4719,0.0093
6057,"Nevada County, CA",0.4634,0.0131
6059,"Orange County, CA",0.47,0.0031
6061,"Placer County, CA",0.4474,0.0061
6063,"Plumas County, CA",0.4549,0.0422
6065,"Riverside County, CA",0.4547,0.0036
6067,"Sacramento County, CA",0.4583,0.0041
6069,"San Benito County, CA",0.3989,0.0154
6071,"San Bernardino County, CA",0.441,0.0033
6073,"San Diego County, CA",0.463,0.0029
6075,"San Francisco County, CA",0.5128,0.004
6077,"San Joaquin County, CA",0.4546,0.0055
6079,"San Luis Obispo County, CA",0.4538,0.0077
6081,"San Mateo County, CA",0.4852,0.0043
6083,"Santa Barbara County, CA",0.4798,0.0055
6085,"Santa Clara County, CA",0.4652,0.0025
6087,"Santa Cruz County, CA",0.4826,0.0066
6089,"Shasta County, CA",0.4603,0.0084
6091,"Sierra County, CA",0.4269,0.0428
6093,"Siskiyou County, CA",0.488,0.0324
6095,"Solano County, CA",0.4231,0.0076
6097,"Sonoma County, CA",0.4578,0.0075
6099,"Stanislaus County, CA",0.4451,0.006
6101,"Sutter County, CA",0.4466,0.0145
6103,"Tehama County, CA",0.4585,0.0185
6105,"Trinity County, CA",0.4821,0.0345
6107,"Tulare County, CA",0.4755,0.0082
6109,"Tuolumne County, CA",0.4881,0.0258
6111,"Ventura County, CA",0.4476,0.005
6113,"Yolo County, CA",0.4931,0.0092
6115,"Yuba County, CA",0.4276,0.0142
8001,"Adams County, CO",0.4075,0.0065
8003,"Alamosa County, CO",0.4821,0.0348
8005,"Arapahoe County, CO",0.4589,0.0045
8007,"Archuleta County, CO",0.4486,0.0331
8009,"Baca County, CO",0.4396,0.0278
8011,"Bent County, CO",0.4395,0.0336
8013,"Boulder County, CO",0.4802,0.0074
8014,"Broomfield County, CO",0.4303,0.0146
8015,"Chaffee County, CO",0.4266,0.0206
8017,"Cheyenne County, CO",0.4233,0.035
8019,"Clear Creek County, CO",0.4127,0.0399
8021,"Conejos County, CO",0.4614,0.0337
8023,"Costilla County, CO",0.5076,0.0351
8025,"Crowley County, CO",0.4185,0.0293
8027,"Custer County, CO",0.4389,0.0446
8029,"Delta County, CO",0.4669,0.0237
8031,"Denver County, CO",0.4958,0.0056
8033,"Dolores County, CO",0.4295,0.0404
8035,"Douglas County, CO",0.3989,0.0071
8037,"Eagle County, CO",0.4335,0.0258
8039,"Elbert County, CO",0.4049,0.0193
8041,"El Paso County, CO",0.434,0.0039
8043,"Fremont County, CO",0.447,0.0238
8045,"Garfield County, CO",0.4008,0.0166
8047,"Gilpin County, CO",0.4241,0.076
8049,"Grand County, CO",0.4019,0.0274
8051,"Gunnison County, CO",0.4182,0.0182
8053,"Hinsdale County, CO",0.4769,0.0449
8055,"Huerfano County, CO",0.4314,0.0281
8057,"Jackson County, CO",0.3796,0.0428
8059,"Jefferson County, CO",0.4337,0.0049
8061,"Kiowa County, CO",0.4383,0.0521
8063,"Kit Carson County, CO",0.4691,0.0917
8065,"Lake County, CO",0.4349,0.0429
8067,"La Plata County, CO",0.4584,0.0255
8069,"Larimer County, CO",0.4497,0.0078
8071,"Las Animas County, CO",0.4616,0.0239
8073,"Lincoln County, CO",0.4364,0.035
8075,"Logan County, CO",0.4365,0.0257
8077,"Mesa County, CO",0.4413,0.0099
8079,"Mineral County, CO",0.3541,0.0391
8081,"Moffat County, CO",0.4298,0.0263
8083,"Montezuma County, CO",0.4247,0.0168
8085,"Montrose County, CO",0.4234,0.0182
8087,"Morgan County, CO",0.4014,0.0193
8089,"Otero County, CO",0.477,0.0233
8091,"Ouray County, CO",0.4413,0.0334
8093,"Park County, CO",0.4082,0.0426
8095,"Phillips County, CO",0.4573,0.0493
8097,"Pitkin County, CO",0.5466,0.045
8099,"Prowers County, CO",0.4334,0.0238
8101,"Pueblo County, CO",0.4572,0.0103
8103,"Rio Blanco County, CO",0.417,0.0355
8105,"Rio Grande County, CO",0.4688,0.0318
8107,"Routt County, CO",0.453,0.0244
8109,"Saguache County, CO",0.5097,0.0486
8111,"San Juan County, CO",0.4197,0.052
8113,"San Miguel County, CO",0.5273,0.0463
8115,"Sedgwick County, CO",0.4462,0.0359
8117,"Summit County, CO",0.4098,0.0277
8119,"Teller County, CO",0.4104,0.025
8121,"Washington County, CO",0.4135,0.0272
8123,"Weld County, CO",0.4156,0.0071
8125,"Yuma County, CO",0.4244,0.0336
