state.name,county,POP2019,test
Alabama,Autauga County,55869,0
Alabama,Baldwin County,223234,0
Alabama,Barbour County,24686,0
Alabama,Bibb County,22394,0
Alabama,Blount County,57826,0
Alabama,Bullock County,10101,0
Alabama,Butler County,19448,0
Alabama,Calhoun County,113605,0
Alabama,Chambers County,33254,0
Alabama,Cherokee County,26196,0
Alabama,Chilton County,44428,0
Alabama,Choctaw County,12589,0
Alabama,Clarke County,23622,0
Alabama,Clay County,13235,0
Alabama,Cleburne County,14910,0
Alabama,Coffee County,52342,0
Alabama,Colbert County,55241,0
Alabama,Conecuh County,12067,0
Alabama,Coosa County,10663,0
Alabama,Covington County,37049,0
Alabama,Crenshaw County,13772,0
Alabama,Cullman County,83768,0
Alabama,Dale County,49172,0
Alabama,Dallas County,37196,0
Alabama,DeKalb County,71513,0
Alabama,Elmore County,81209,0
Alabama,Escambia County,36633,0
Alabama,Etowah County,102268,0
Alabama,Fayette County,16302,0
Alabama,Franklin County,31362,0
Alabama,Geneva County,26271,0
Alabama,Greene County,8111,0
Alabama,Hale County,14651,0
Alabama,Henry County,17205,0
Alabama,Houston County,105882,0
Alabama,Jackson County,51626,0
Alabama,Jefferson County,658573,0
Alabama,Lamar County,13805,0
Alabama,Lauderdale County,92729,0
Alabama,Lawrence County,32924,0
Alabama,Lee County,164542,0
Alabama,Limestone County,98915,0
Alabama,Lowndes County,9726,0
Alabama,Macon County,18068,0
Alabama,Madison County,372909,0
Alabama,Marengo County,18863,0
Alabama,Marion County,29709,0
Alabama,Marshall County,96774,0
Alabama,Mobile County,413210,0
Alabama,Monroe County,20733,0
Alabama,Montgomery County,226486,0
Alabama,Morgan County,119679,0
Alabama,Perry County,8923,0
Alabama,Pickens County,19930,0
Alabama,Pike County,33114,0
Alabama,Randolph County,22722,0
Alabama,Russell County,57961,0
Alabama,St. Clair County,89512,0
Alabama,Shelby County,217702,0
Alabama,Sumter County,12427,0
Alabama,Talladega County,79978,0
Alabama,Tallapoosa County,40367,0
Alabama,Tuscaloosa County,209355,0
Alabama,Walker County,63521,0
Alabama,Washington County,16326,0
Alabama,Wilcox County,10373,0
Alabama,Winston County,23629,0
Arizona,Apache County,71887,0
Arizona,Cochise County,125922,0
Arizona,Coconino County,143476,0
Arizona,Gila County,54018,0
Arizona,Graham County,38837,0
Arizona,Greenlee County,9498,0
Arizona,La Paz County,21108,0
Arizona,Maricopa County,4485414,0
Arizona,Mohave County,212181,0
Arizona,Navajo County,110924,0
Arizona,Pima County,1047279,0
Arizona,Pinal County,462789,0
Arizona,Santa Cruz County,46498,0
Arizona,Yavapai County,235099,0
Arizona,Yuma County,213787,0
Arkansas,Arkansas County,17486,0
Arkansas,Ashley County,19657,0
Arkansas,Baxter County,41932,0
Arkansas,Benton County,279141,0
Arkansas,Boone County,37432,0
Arkansas,Bradley County,10763,0
Arkansas,Calhoun County,5189,0
Arkansas,Carroll County,28380,0
Arkansas,Chicot County,10118,0
Arkansas,Clark County,22320,0
Arkansas,Clay County,14551,0
Arkansas,Cleburne County,24919,0
Arkansas,Cleveland County,7956,0
Arkansas,Columbia County,23457,0
Arkansas,Conway County,20846,0
Arkansas,Craighead County,110332,0
Arkansas,Crawford County,63257,0
Arkansas,Crittenden County,47955,0
Arkansas,Cross County,16419,0
Arkansas,Dallas County,7009,0
Arkansas,Desha County,11361,0
Arkansas,Drew County,18219,0
Arkansas,Faulkner County,126007,0
Arkansas,Franklin County,17715,0
Arkansas,Fulton County,12477,0
Arkansas,Garland County,99386,0
Arkansas,Grant County,18265,0
Arkansas,Greene County,45325,0
Arkansas,Hempstead County,21532,0
Arkansas,Hot Spring County,33771,0
Arkansas,Howard County,13202,0
Arkansas,Independence County,37825,0
Arkansas,Izard County,13629,0
Arkansas,Jackson County,16719,0
Arkansas,Jefferson County,66824,0
Arkansas,Johnson County,26578,0
Arkansas,Lafayette County,6624,0
Arkansas,Lawrence County,16406,0
Arkansas,Lee County,8857,0
Arkansas,Lincoln County,13024,0
Arkansas,Little River County,12259,0
Arkansas,Logan County,21466,0
Arkansas,Lonoke County,73309,0
Arkansas,Madison County,16576,0
Arkansas,Marion County,16694,0
Arkansas,Miller County,43257,0
Arkansas,Mississippi County,40651,0
Arkansas,Monroe County,6701,0
Arkansas,Montgomery County,8986,0
Arkansas,Nevada County,8252,0
Arkansas,Newton County,7753,0
Arkansas,Ouachita County,23382,0
Arkansas,Perry County,10455,0
Arkansas,Phillips County,17782,0
Arkansas,Pike County,10718,0
Arkansas,Poinsett County,23528,0
Arkansas,Polk County,19964,0
Arkansas,Pope County,64072,0
Arkansas,Prairie County,8062,0
Arkansas,Pulaski County,391911,0
Arkansas,Randolph County,17958,0
